MUNI_PROV,t24_100yr,t24_25yr,t24_5yr
"Candaba, Pampanga",481.2,373.6,243.1
"Candaba, Pampanga",349.3,275.2,185.3
"Candelaria, Quezon",508.3,404.8,279.5
"Candelaria, Zambales",533.6,431.1,307
"Candijay, Bohol",222.6,176.7,121.2
"Candijay, Bohol",316.3,259.6,190.8
"Candon_City, Ilocos_Sur",1134,876.1,563.6
"Candoni, Negros_Occidental",227.3,177.2,116.5
"Candoni, Negros_Occidental",304.5,241.5,165.2
"Canlaon_City, Negros_Oriental",265.7,208.5,139.1
"Canlaon_City, Negros_Oriental",304.5,241.5,165.2
"Cantilan, Surigao_del_Sur",308.6,248.3,175.2
"Cantilan, Surigao_del_Sur",553.9,433,286.5
"Caoayan, Ilocos_Sur",602,479.8,331.7
"Capalonga, Camarines_Norte",520.3,411.1,278.7
"Capalonga, Camarines_Norte",466.7,369.6,252
"Capas, Tarlac",533.6,431.1,307
"Capas, Tarlac",349.3,275.2,185.3
"Capoocan, Leyte",273,222.6,161.4
"Capul, Northern_Samar",461.8,368.5,255.4
"Caraga, Davao_Oriental",483.1,389.7,276.5
"Caraga, Davao_Oriental",202.1,165.5,121.1
"Caramoan, Camarines_Sur",574.4,449,297
"Caramoran, Catanduanes",574.4,449,297
"Carasi, Ilocos_Norte",602,479.8,331.7
"Carcar, Cebu",265.7,208.5,139.1
"Cardona, Rizal",481.2,373.6,243.1
"Cardona, Rizal",434.3,340.4,226.7
"Carigara, Leyte",273,222.6,161.4
"Carles, Iloilo",344.6,273,186.2
"Carmen, Agusan_del_Norte",308.6,248.3,175.2
"Carmen, Bohol",222.6,176.7,121.2
"Carmen, Cebu",265.7,208.5,139.1
"Carmen, Davao_del_Norte",202.1,165.5,121.1
"Carmen, North_Cotabato",202.1,165.5,121.1
"Carmen, Surigao_del_Sur",308.6,248.3,175.2
"Carmona, Cavite",377.6,301.5,209.4
"Carmona, Cavite",434.3,340.4,226.7
"Carranglan, Nueva_Ecija",349.3,275.2,185.3
"Carranglan, Nueva_Ecija",551.7,428.2,278.6
"Carranglan, Nueva_Ecija",1134,876.1,563.6
"Carrascal, Surigao_del_Sur",308.6,248.3,175.2
"Carrascal, Surigao_del_Sur",553.9,433,286.5
"Casiguran, Aurora",427.9,345.5,245.6
"Casiguran, Sorsogon",490.3,386.4,260.5
"Castilla, Sorsogon",490.3,386.4,260.5
"Castillejos, Zambales",533.6,431.1,307
"Cataingan, Masbate",461.8,368.5,255.4
"Catanauan, Quezon",466.7,369.6,252
"Catarman, Camiguin",255.5,204,141.7
"Catarman, Northern_Samar",461.8,368.5,255.4
"Catbalogan_City, Samar",418.8,331.3,255.3
"Cateel, Davao_Oriental",483.1,389.7,276.5
"Catigbian, Bohol",222.6,176.7,121.2
"Catmon, Cebu",265.7,208.5,139.1
"Catubig, Northern_Samar",461.8,368.5,255.4
"Cauayan_City, Isabela",427.9,345.5,245.6
"Cauayan_City, Isabela",465.5,367.2,248
"Cauayan, Negros_Occidental",227.3,177.2,116.5
"Cauayan, Negros_Occidental",304.5,241.5,165.2
"Cavinti, Laguna",508.3,404.8,279.5
"Cavite_City, Cavite",377.6,301.5,209.4
"Cawayan, Masbate",344.6,273,186.2
"Cawayan, Masbate",461.8,368.5,255.4
"Cawayan, Masbate",490.3,386.4,260.5
"Cebu_City, Cebu",265.7,208.5,139.1
"Cervantes, Ilocos_Sur",1134,876.1,563.6
"Clarin, Bohol",265.7,208.5,139.1
"Clarin, Bohol",222.6,176.7,121.2
"Clarin, Misamis_Occidental",294.4,242,178.5
"Claver, Surigao_del_Norte",308.6,248.3,175.2
"Claver, Surigao_del_Norte",553.9,433,286.5
"Claveria, Cagayan",484,379.3,252.5
"Claveria, Masbate",490.3,386.4,260.5
"Claveria, Misamis_Oriental",265.3,214.8,153.6
"Claveria, Misamis_Oriental",239.7,189.8,129.2
"Claveria, Misamis_Oriental",308.6,248.3,175.2
"Columbio, Sultan_Kudarat",195.2,153.4,102.7
"Columbio, Sultan_Kudarat",202.1,165.5,121.1
"Compostela, Cebu",265.7,208.5,139.1
"Compostela, Compostela_Valley",483.1,389.7,276.5
"Compostela, Compostela_Valley",202.1,165.5,121.1
"Concepcion, Iloilo",344.6,273,186.2
"Concepcion, Misamis_Occidental",294.4,242,178.5
"Concepcion, Romblon",313.3,249.2,171.6
"Concepcion, Tarlac",349.3,275.2,185.3
"Conner, Apayao",602,479.8,331.7
"Conner, Apayao",465.5,367.2,248
"Consolacion, Cebu",265.7,208.5,139.1
"Corcuera, Romblon",313.3,249.2,171.6
"Cordoba, Cebu",265.7,208.5,139.1
"Cordon, Isabela",427.9,345.5,245.6
"Corella, Bohol",222.6,176.7,121.2
"Coron, Palawan",299.6,234.9,156.4
"Coron, Palawan",313.3,249.2,171.6
"Coron, Palawan",434.3,340.4,226.7
"Cortes, Bohol",222.6,176.7,121.2
"Cortes, Surigao_del_Sur",308.6,248.3,175.2
"Cotabato_City, Maguindanao",202.1,165.5,121.1
"Cuartero, Capiz",344.6,273,186.2
"Cuenca, Batangas",434.3,340.4,226.7
"Culaba, Biliran",418.8,331.3,255.3
"Culasi, Antique",304.5,241.5,165.2
"Culasi, Antique",344.6,273,186.2
"Culion, Palawan",299.6,234.9,156.4
"Culion, Palawan",313.3,249.2,171.6
"Culion, Palawan",434.3,340.4,226.7
"Currimao, Ilocos_Norte",602,479.8,331.7
"Cuyapo, Nueva_Ecija",349.3,275.2,185.3
"Cuyapo, Nueva_Ecija",440.5,352.9,246.7
"Cuyo, Palawan",304.5,241.5,165.2
"Daanbantayan, Cebu",265.7,208.5,139.1
"Daanbantayan, Cebu",273,222.6,161.4
"Daanbantayan, Cebu",418.8,331.3,255.3
"Daet, Camarines_Norte",520.3,411.1,278.7
"Dagami, Leyte",273,222.6,161.4
"Dagohoy, Bohol",265.7,208.5,139.1
"Dagohoy, Bohol",222.6,176.7,121.2
"Daguioman, Abra",602,479.8,331.7
"Daguioman, Abra",465.5,367.2,248
"Dagupan_City, Pangasinan",440.5,352.9,246.7
"Dalaguete, Cebu",222.6,176.7,121.2
"Damulog, Bukidnon",202.1,165.5,121.1
"Danao_City, Cebu",265.7,208.5,139.1
"Danao_Lake, Cebu",265.7,208.5,139.1
"Danao, Bohol",265.7,208.5,139.1
"Danao, Bohol",222.6,176.7,121.2
